AUROC,AUPRC,Brier,Sensitivity,Specificity,PPV,NPV,F1,fold
0.7383,0.4229,0.1715,0.4,0.8411,0.4194,0.8301,0.4094,1
0.755,0.4757,0.1713,0.5426,0.8256,0.4698,0.8637,0.5036,2
0.7331,0.418,0.1776,0.4574,0.819,0.4184,0.8413,0.437,3
0.6839,0.407,0.1881,0.4109,0.8168,0.3897,0.8296,0.4,4
0.7495,0.4567,0.1657,0.4884,0.8631,0.504,0.8556,0.4961,5
