AUROC,AUPRC,Brier,Sensitivity,Specificity,PPV,NPV,F1,fold
0.765,0.4628,0.1632,0.4538,0.8455,0.4574,0.8436,0.4556,1
0.7657,0.4759,0.1687,0.4884,0.8234,0.4406,0.8497,0.4632,2
0.7486,0.4155,0.1731,0.4496,0.83,0.4296,0.8412,0.4394,3
0.6919,0.4314,0.1888,0.4341,0.8124,0.3972,0.8345,0.4148,4
0.7552,0.4471,0.1653,0.4496,0.8653,0.4874,0.8467,0.4677,5
